Panel,Serial Number,Point,Date,Time,Measurement Temp,CAD Model,Coordinate System,X Ist,Y Ist,Z Ist
35,01-011351,V2,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-3430.26,224.27,-3146.94
35,01-011351,V3,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-2934.9,-216.32,-3156.34
35,01-011351,V4,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-2940.43,223.19,-3156.24
35,01-011351,V5,2024-01-05 00:00:00,09:28:00,10.8,20231222_Group_01_10Deg_small_Plus_Tool-V03_Korrigiert,Nominal-Frame_Rot-Y_-26.565051,-3189.96,-4.22,-3152.26
36,01-011361,V1,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3431.12,-890.93,-3140.93
36,01-011361,V2,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3440.55,-448.97,-3145.49
36,01-011361,V3,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2934.86,-895.94,-3150.28
36,01-011361,V4,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2930.26,-457.82,-3155.11
36,01-011361,V5,2024-01-08 00:00:00,15:;25,4.4,20240108_Pnl_46_36_26_16_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3182.84,-668.03,-3148.81
37,01-011371,V1,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3439.16,-1560.93,-3127.8
37,01-011371,V2,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3421.96,-1122.99,-3137.46
37,01-011371,V3,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2936.53,-1564.38,-3137.16
37,01-011371,V4,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2930.93,-1122.5,-3146.69
37,01-011371,V5,2024-01-17 00:00:00,14:18:00,5.8,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-3187.73,-1342.62,-3137.94
41,01-011411,V1,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2679.45,2466.87,-3112.29
41,01-011411,V2,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2679.12,2904,-3094.25
41,01-011411,V3,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2179.58,2464.33,-3116.96
41,01-011411,V4,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2179,2905.08,-3098.76
41,01-011411,V5,2024-01-17 00:00:00,09:43:00,4.8,20240116_Pnl_41_31_21_Group7_5Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2436.49,2686.52,-3106.16
42,01-011421,V1,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2679.69,1791.83,-3134.73
42,01-011421,V2,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2683.4,2231.08,-3120.83
42,01-011421,V3,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2176.33,1789.7,-3139.42
42,01-011421,V4,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2178.76,2236.31,-3125.3
42,01-011421,V5,2024-01-15 00:00:00,14:50:00,5.0,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2426.52,2011.14,-3130.87
43,01-011431,V1,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2676.74,1117.82,-3150.34
43,01-011431,V2,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2177.24,1120.76,-3154.87
43,01-011431,V3,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2674.49,1559.92,-3140.95
43,01-011431,V4,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2181.19,1565.62,-3145.34
43,01-011431,V5,2024-01-12 00:00:00,14:20:00,6.4,20240111_Pnl_43_33_23_13_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2430.01,1338.74,-3148.67
45,01-011451,V1,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2681.04,-220.45,-3159.91
45,01-011451,V2,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2683.09,222.21,-3159.89
45,01-011451,V3,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2182.75,-217.98,-3164.51
45,01-011451,V4,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2185.45,220.11,-3164.5
45,01-011451,V5,2024-01-02 00:00:00,10:25:00,11.4,20231222_Group_01_10Deg_small_Plus_Tool-V03.STEP,Nominal-Frame_Rot-Y_-26.565051,-2440.86,4.95,-3162.93
47,01-011471,V1,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2678.76,-1562.92,-3140.82
47,01-011471,V2,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2677.98,-1121.68,-3150.24
47,01-011471,V3,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2189.24,-1557.06,-3145.5
47,01-011471,V4,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2183.69,-1125.38,-3154.71
47,01-011471,V5,2024-01-09 00:00:00,11:50:00,5.6,20240109_Pnl_47_37_27_17_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2434.88,-1344,-3148.51
48,01-011481,V1,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2681.84,-2232.18,-3120.82
48,01-011481,V2,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2678.12,-1800.05,-3134.52
48,01-011481,V3,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2179,-2236.64,-3125.28
48,01-011481,V4,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2179.76,-1796.01,-3139.21
48,01-011481,V5,2024-01-10 00:00:00,11:10:00,5.0,20240110_Pnl_48_38_28_18_05Grad_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-2430.35,-2014.29,-3130.74
51,01-011511,V1,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1933.3,2464.86,-3118.05
51,01-011511,V2,2024-01-05 00:00:00,14:51:00,11.0,20240105_Group_03_10Grad_big_Plus_V-X_Tool-V03,Nominal-Frame_Rot-Y_-26.565051,-1932.23,2898.24,-3100.18
