Enabled	Feature	ID  	x        	y        	z       	i       	j       	k        	Dev From Fit	Device Position  	Probe	Device Name
Checked	LATR_4 	133 	1,027.430	6,998.502	-179.163	0.262232	0.939835	-0.218961	0.292       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	134 	1,027.430	6,998.504	-179.162	0.262232	0.939836	-0.218960	0.290       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	135 	1,027.431	6,998.504	-179.163	0.262232	0.939835	-0.218961	0.291       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	136 	1,027.432	6,998.502	-179.164	0.262232	0.939835	-0.218961	0.292       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	137 	1,027.430	6,998.506	-179.159	0.262232	0.939836	-0.218959	0.287       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	138 	1,027.432	6,998.504	-179.162	0.262232	0.939835	-0.218960	0.290       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	139 	1,027.429	6,998.502	-179.163	0.262231	0.939836	-0.218961	0.292       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	140 	1,027.429	6,998.503	-179.160	0.262232	0.939836	-0.218960	0.289       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	141 	1,027.431	6,998.502	-179.159	0.262232	0.939836	-0.218960	0.288       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	142 	1,027.427	6,998.503	-179.156	0.262231	0.939836	-0.218959	0.286       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	143 	1,027.428	6,998.502	-179.156	0.262231	0.939836	-0.218958	0.286       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	144 	1,027.430	6,998.503	-179.153	0.262232	0.939836	-0.218957	0.282       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	145 	1,027.428	6,998.502	-179.156	0.262231	0.939836	-0.218958	0.286       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	146 	1,027.427	6,998.501	-179.156	0.262231	0.939836	-0.218959	0.287       	Device Position 1	38.1 	V20003907682
Checked	LATR_4 	147 	1,027.428	6,998.501	-179.154	0.262232	0.939836	-0.218958	0.284       	Device Position 1	38.1 	V20003907682
